Framework,Control Number,Class,Family,Short Name,Long Name,Description,Supplemental Guidance,Title,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (d) (2) (i),,Monitoring,GLBA Standards for Safeguarding Customer Information § 314.4 (d) (2) (i),GLBA Standards for Safeguarding Customer Information § 314.4 (d) (2) (i): Conduct annual penetration testing of your information systems,"Absent effective continuous monitoring or other systems to detect, on an ongoing basis, changes in information systems that may create vulnerabilities, you shall conduct annual penetration testing of your information systems determined each given year based on relevant identified risks in accordance with the risk assessment.",,Conduct annual penetration testing of your information systems,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (d) (2) (ii),,Monitoring,GLBA Standards for Safeguarding Customer Information § 314.4 (d) (2) (ii),GLBA Standards for Safeguarding Customer Information § 314.4 (d) (2) (ii): Conduct vulnerability assessments at least every six months and whenever there are material changes to your operations or business arrangements,"Absent effective continuous monitoring or other systems to detect, on an ongoing basis, changes in information systems that may create vulnerabilities, you shall conduct vulnerability assessments, including any systemic scans or reviews of information systems reasonably designed to identify publicly known security vulnerabilities in your information systems based on the risk assessment, at least every six months; and whenever there are material changes to your operations or business arrangements; and whenever there are circumstances you know or have reason to know may have a material impact on your information security program.",,Conduct vulnerability assessments at least every six months and whenever there are material changes to your operations or business arrangements,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (e) (1),,Policies and Procedures,GLBA Standards for Safeguarding Customer Information § 314.4 (e) (1),GLBA Standards for Safeguarding Customer Information § 314.4 (e) (1): Provide personnel with security awareness training,Implement policies and procedures to ensure that personnel are able to enact your information security program by providing your personnel with security awareness training that is updated as necessary to reflect risks identified by the risk assessment.,,Provide personnel with security awareness training,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (e) (2),,Policies and Procedures,GLBA Standards for Safeguarding Customer Information § 314.4 (e) (2),GLBA Standards for Safeguarding Customer Information § 314.4 (e) (2): Manage your information security risks and perform or oversee the information security program,Implement policies and procedures to ensure that personnel are able to enact your information security program by utilizing qualified information security personnel employed by you or an affiliate or service provider sufficient to manage your information security risks and to perform or oversee the information security program.,,Manage your information security risks and perform or oversee the information security program,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (e) (3),,Policies and Procedures,GLBA Standards for Safeguarding Customer Information § 314.4 (e) (3),GLBA Standards for Safeguarding Customer Information § 314.4 (e) (3): Information security personnel are provided with security updates and training,Implement policies and procedures to ensure that personnel are able to enact your information security program by providing information security personnel with security updates and training sufficient to address relevant security risks.,,Information security personnel are provided with security updates and training,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (e) (4),,Policies and Procedures,GLBA Standards for Safeguarding Customer Information § 314.4 (e) (4),GLBA Standards for Safeguarding Customer Information § 314.4 (e) (4): Key information security personnel maintain current knowledge of changing information security threats and countermeasures,Implement policies and procedures to ensure that personnel are able to enact your information security program by verifying that key information security personnel take steps to maintain current knowledge of changing information security threats and countermeasures.,,Key information security personnel maintain current knowledge of changing information security threats and countermeasures,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (f) (1),,Service Providers,GLBA Standards for Safeguarding Customer Information § 314.4 (f) (1),GLBA Standards for Safeguarding Customer Information § 314.4 (f) (1): Select and retain service providers that are capable of maintaing approprate safeguards,"Oversee service providers, by taking reasonable steps to select and retain service providers that are capable of maintaining appropriate safeguards for the customer information at issue.",,Select and retain service providers that are capable of maintaing approprate safeguards,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (f) (2),,Service Providers,GLBA Standards for Safeguarding Customer Information § 314.4 (f) (2),GLBA Standards for Safeguarding Customer Information § 314.4 (f) (2): Contractually require service providers to implement and maintain safeguards,"Oversee service providers, by requiring your service providers by contract to implement and maintain such safeguards.",,Contractually require service providers to implement and maintain safeguards,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (f) (3),,Service Providers,GLBA Standards for Safeguarding Customer Information § 314.4 (f) (3),GLBA Standards for Safeguarding Customer Information § 314.4 (f) (3): Periodically assess service providers based on the risk they present and continued adequacy of their safeguards,"Oversee service providers, by periodically assessing your service providers based on the risk they present and the continued adequacy of their safeguards.",,Periodically assess service providers based on the risk they present and continued adequacy of their safeguards,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (g),,Evaluate and Adjust,GLBA Standards for Safeguarding Customer Information § 314.4 (g),GLBA Standards for Safeguarding Customer Information § 314.4 (g): Evaluate and adjust your information security program based on changing circumstances with material impact,Evaluate and adjust your information security program in light of the results of the testing and monitoring required by paragraph (d) of this section; any material changes to your operations or business arrangements; the results of risk assessments performed under paragraph (b)(2) of this section; or any other circumstances that you know or have reason to know may have a material impact on your information security program.,,Evaluate and adjust your information security program based on changing circumstances with material impact,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (h),,Incident Response,GLBA Standards for Safeguarding Customer Information § 314.4 (h),GLBA Standards for Safeguarding Customer Information § 314.4 (h): Establish a written incident response plan,"Establish a written incident response plan designed to promptly respond to, and recover from, any security event materially affecting the confidentiality, integrity, or availability of customer information in your control.",,Establish a written incident response plan,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (h) (1),,Incident Response,GLBA Standards for Safeguarding Customer Information § 314.4 (h) (1),GLBA Standards for Safeguarding Customer Information § 314.4 (h) (1): Incident response plan shall address goals,Such incident response plan shall address the goals of the incident response plan.,,Incident response plan shall address goals,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (h) (2),,Incident Response,GLBA Standards for Safeguarding Customer Information § 314.4 (h) (2),GLBA Standards for Safeguarding Customer Information § 314.4 (h) (2): Incident response plan shall address internal processes for responding to a security event,Such incident response plan shall address the internal processes for responding to a security event.,,Incident response plan shall address internal processes for responding to a security event,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (h) (3),,Incident Response,GLBA Standards for Safeguarding Customer Information § 314.4 (h) (3),"GLBA Standards for Safeguarding Customer Information § 314.4 (h) (3): Incident response plan shall address the definition of clear roles, responsibilities and levels of decision-making authority","Such incident response plan shall address the definition of clear roles, responsibilities, and levels of decision-making authority.",,"Incident response plan shall address the definition of clear roles, responsibilities and levels of decision-making authority",,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (h) (4),,Incident Response,GLBA Standards for Safeguarding Customer Information § 314.4 (h) (4),GLBA Standards for Safeguarding Customer Information § 314.4 (h) (4): Incident response plan shall address external and internal communications and information sharing,Such incident response plan shall address external and internal communications and information sharing.,,Incident response plan shall address external and internal communications and information sharing,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (h) (5),,Incident Response,GLBA Standards for Safeguarding Customer Information § 314.4 (h) (5),GLBA Standards for Safeguarding Customer Information § 314.4 (h) (5): Incident response plan shall address identification of requirements for the remediation of any identified weaknesses in information systems and associated controls,Such incident response plan shall address identification of requirements for the remediation of any identified weaknesses in information systems and associated controls.,,Incident response plan shall address identification of requirements for the remediation of any identified weaknesses in information systems and associated controls,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (h) (6),,Incident Response,GLBA Standards for Safeguarding Customer Information § 314.4 (h) (6),GLBA Standards for Safeguarding Customer Information § 314.4 (h) (6): Incident response plan shall address documentation and reporting regarding security events and related incident response activities,Such incident response plan shall address documentation and reporting regarding security events and related incident response activities.,,Incident response plan shall address documentation and reporting regarding security events and related incident response activities,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (h) (7),,Incident Response,GLBA Standards for Safeguarding Customer Information § 314.4 (h) (7),GLBA Standards for Safeguarding Customer Information § 314.4 (h) (7): Incident response plan shall address the evaluation and revision of the incident response plan following a security event,Such incident response plan shall address the evaluation and revision as necessary of the incident response plan following a security event.,,Incident response plan shall address the evaluation and revision of the incident response plan following a security event,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (i),,Board Reporting,GLBA Standards for Safeguarding Customer Information § 314.4 (i),"GLBA Standards for Safeguarding Customer Information § 314.4 (i): Qualified Individuals are required to report in writing, at least annually, to your board of directors or equivalent governing body","Require your Qualified Individual to report in writing, regularly and at least annually, to your board of directors or equivalent governing body. If no such board of directors or equivalent governing body exists, such report shall be timely presented to a senior officer responsible for your information security program.",,"Qualified Individuals are required to report in writing, at least annually, to your board of directors or equivalent governing body",,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (i) (1),,Board Reporting,GLBA Standards for Safeguarding Customer Information § 314.4 (i) (1),GLBA Standards for Safeguarding Customer Information § 314.4 (i) (1): Report to board shall include overall status of the information security program and compliance,The report shall include the overall status of the information security program and your compliance with this part.,,Report to board shall include overall status of the information security program and compliance,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (i) (2),,Board Reporting,GLBA Standards for Safeguarding Customer Information § 314.4 (i) (2),GLBA Standards for Safeguarding Customer Information § 314.4 (i) (2): Report to board shall include material matters related to the information security program,"The report shall include material matters related to the information security program, addressing issues such as risk assessment, risk management and control decisions, service provider arrangements, results of testing, security events or violations and management's responses thereto, and recommendations for changes in the information security program.",,Report to board shall include material matters related to the information security program,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
